Time (s),Voltage (V)
61.58,-60.66
61.68,-60.38
61.79,-60.66
61.89,-60.66
61.99,-60.66
62.09,-60.66
62.29,-60.66
62.39,-60.38
62.49,-60.38
62.59,-60.66
62.69,-60.38
62.79,-60.66
62.9,-60.1
63.0,-60.66
63.1,-60.66
63.2,-60.66
63.3,-60.38
63.4,-60.66
63.6,-60.66
63.7,-60.66
63.8,-60.93
63.9,-60.38
64.01,-60.38
64.11,-60.38
64.21,-60.66
64.31,-60.66
64.41,-60.38
64.51,-60.66
64.61,-60.66
64.71,-60.38
64.81,-60.38
65.01,-60.66
65.12,-60.38
65.22,-60.1
65.32,-60.38
65.42,-60.38
65.52,-60.38
65.62,-60.66
65.72,-60.66
65.82,-60.66
65.93,-60.38
66.03,-60.66
66.13,-60.66
66.33,-60.38
66.43,-60.38
66.53,-60.38
66.63,-60.1
66.73,-60.38
66.83,-60.1
66.93,-60.38
67.04,-60.38
67.14,-60.66
67.24,-60.1
67.34,-60.38
67.44,-60.66
67.64,-60.38
67.74,-60.38
67.84,-60.38
67.94,-60.1
68.04,-60.1
68.15,-60.38
68.25,-60.66
68.35,-60.38
68.45,-60.38
68.55,-59.82
68.65,-60.38
68.75,-60.38
68.95,-60.1
69.05,-60.1
69.15,-60.38
69.26,-60.38
69.36,-59.82
69.46,-59.82
69.56,-60.1
69.66,-60.38
69.76,-60.1
69.86,-60.1
69.96,-59.54
70.06,-60.1
70.16,-60.1
70.37,-59.82
70.47,-60.38
70.57,-60.38
70.67,-59.82
70.77,-60.1
70.87,-60.1
70.97,-60.1
71.07,-59.54
71.18,-60.1
71.28,-60.1
71.38,-59.82
71.48,-59.82
71.68,-60.1
71.78,-59.82
71.88,-59.82
71.98,-60.1
72.08,-59.82
72.18,-59.54
72.29,-60.1
72.39,-59.82
72.49,-59.82
72.59,-60.1
72.69,-59.82
72.79,-59.82
72.99,-60.1
73.09,-59.82
73.19,-59.82
73.29,-60.1
73.4,-60.1
73.5,-59.82
73.6,-60.1
73.7,-60.1
73.8,-59.82
73.9,-60.1
74.0,-59.82
74.1,-60.1
74.3,-59.82
74.4,-59.82
74.51,-59.82
74.61,-59.82
74.71,-60.38
74.81,-60.1
74.91,-59.82
75.01,-59.82
75.11,-60.1
75.21,-59.82
75.31,-59.82
75.41,-60.1
75.62,-59.82
75.72,-59.82
75.82,-60.1
75.92,-60.1
76.02,-59.82
76.12,-59.82
76.22,-59.82
76.32,-59.82
76.43,-59.82
76.53,-60.1
76.63,-59.82
76.73,-59.54
76.83,-59.82
77.03,-60.1
77.13,-59.82
77.23,-60.1
77.33,-60.1
77.43,-59.82
77.54,-59.54
77.64,-60.1
77.74,-60.1
77.84,-59.82
77.94,-59.82
78.04,-59.82
78.14,-59.54
78.34,-59.82
78.44,-59.82
78.54,-59.82
78.65,-59.82
78.75,-59.82
78.85,-59.82
78.95,-59.26
79.05,-59.82
79.15,-60.1
79.25,-60.1
79.35,-59.54
79.45,-59.82
79.66,-59.54
79.76,-59.82
79.86,-59.82
79.96,-59.54
80.06,-59.54
80.16,-59.54
80.26,-59.54
80.36,-59.26
80.46,-59.54
80.56,-59.54
80.67,-59.54
80.77,-59.26
80.97,-59.26
81.07,-59.54
81.17,-59.82
81.27,-59.54
81.37,-59.54
81.47,-59.54
81.57,-59.82
81.68,-59.26
81.78,-59.54
81.88,-59.54
81.98,-59.82
82.08,-59.26
82.28,-59.54
82.38,-59.54
82.48,-59.54
82.58,-59.54
82.68,-59.82
82.79,-59.54
82.89,-60.1
82.99,-59.82
83.09,-59.82
83.19,-59.54
83.29,-59.82
83.39,-59.54
83.59,-59.54
83.69,-59.26
83.79,-58.98
83.9,-59.82
84.0,-59.54
84.1,-59.54
84.2,-59.26
84.3,-58.98
84.4,-59.54
84.5,-59.54
84.6,-59.54
84.7,-58.98
84.8,-58.98
85.01,-58.98
85.11,-59.26
85.21,-59.26
85.31,-59.26
85.41,-59.26
85.51,-59.26
85.61,-59.26
85.71,-59.82
85.81,-59.54
85.92,-59.82
86.02,-59.26
86.12,-59.54
86.32,-59.26
86.42,-59.54
86.52,-59.82
86.62,-59.26
86.72,-59.82
86.82,-59.54
86.93,-59.26
87.03,-58.98
87.13,-59.26
87.23,-59.26
87.33,-59.54
87.43,-59.54
87.63,-59.26
