Time (s),Voltage (V)
62.26,-3.59
62.37,-3.87
62.47,-3.87
62.57,-4.42
62.67,-4.14
62.77,-3.59
62.87,-4.42
62.97,-3.59
63.07,-4.14
63.17,-3.87
63.27,-3.87
63.37,-3.59
63.47,-4.14
63.58,-3.87
63.68,-3.59
63.78,-3.59
63.88,-3.59
63.98,-3.87
64.08,-3.87
64.18,-3.87
64.28,-3.87
64.38,-4.14
64.48,-3.87
64.58,-3.31
64.69,-3.59
64.79,-3.59
64.89,-3.87
64.99,-3.87
65.09,-3.87
65.19,-4.14
65.29,-3.87
65.39,-3.31
65.49,-3.59
65.59,-4.14
65.69,-3.87
65.8,-3.87
65.9,-4.14
66,-3.87
66.1,-3.87
66.2,-3.59
66.3,-3.59
66.4,-3.87
66.5,-3.87
66.6,-4.14
66.7,-4.14
66.8,-3.87
66.91,-3.87
67.01,-3.87
67.11,-4.14
67.21,-3.87
67.31,-3.87
67.41,-3.87
67.51,-4.14
67.61,-3.59
67.71,-3.87
67.81,-3.59
67.91,-4.14
68.02,-4.14
68.12,-4.14
68.22,-3.87
68.32,-3.59
68.42,-3.59
68.52,-4.14
68.62,-3.87
68.72,-4.14
68.82,-4.14
68.93,-3.87
69.03,-3.87
69.13,-3.87
69.23,-3.87
69.33,-3.87
69.43,-4.14
69.53,-3.87
69.63,-3.87
69.73,-3.87
69.83,-3.59
69.93,-3.59
70.04,-4.14
70.14,-3.87
70.24,-4.42
70.34,-3.87
70.44,-3.87
70.54,-4.14
70.64,-3.59
70.74,-3.59
70.84,-3.59
70.94,-3.87
71.04,-4.14
71.14,-3.87
71.25,-3.59
71.35,-3.87
71.45,-3.87
71.55,-4.14
71.65,-3.87
71.75,-3.59
71.85,-3.59
71.95,-4.14
72.05,-4.14
72.15,-3.87
72.26,-4.14
72.36,-4.14
72.46,-3.87
72.56,-3.31
72.66,-3.59
72.76,-3.87
72.86,-4.14
72.96,-3.87
73.06,-4.14
73.16,-4.14
73.26,-3.87
73.37,-4.14
73.47,-3.87
73.57,-3.87
73.67,-3.87
73.77,-3.31
73.87,-3.87
73.97,-3.31
74.07,-3.59
74.17,-3.87
74.27,-3.87
74.37,-4.14
74.48,-3.87
74.58,-3.87
74.68,-3.87
74.78,-3.87
74.88,-4.14
74.98,-4.14
75.08,-3.59
75.18,-3.87
75.28,-3.87
75.38,-3.59
75.48,-3.59
75.59,-3.87
75.69,-3.87
75.79,-4.14
75.89,-3.59
75.99,-3.59
76.09,-3.87
76.19,-3.87
76.29,-4.14
76.39,-4.14
76.49,-3.59
76.6,-3.87
76.7,-3.59
76.8,-3.59
76.9,-4.14
77,-4.14
77.1,-3.59
77.2,-3.87
77.3,-3.87
77.4,-3.59
77.5,-3.87
77.6,-3.59
77.71,-3.87
77.81,-3.87
77.91,-3.87
78.01,-3.87
78.11,-4.14
78.21,-4.14
78.31,-3.87
78.41,-4.14
78.51,-3.59
78.61,-3.87
78.71,-3.87
78.82,-3.59
78.92,-4.14
79.02,-4.14
79.12,-3.87
79.22,-3.87
79.32,-3.59
79.42,-4.14
79.52,-4.14
79.62,-3.87
79.72,-3.87
79.82,-3.87
79.93,-3.87
80.03,-4.14
80.13,-4.14
80.23,-4.14
80.33,-3.87
80.43,-3.59
80.53,-4.14
80.63,-4.14
80.73,-4.14
80.83,-4.14
80.93,-4.14
81.04,-3.59
81.14,-3.87
81.24,-4.14
81.34,-3.87
81.44,-3.87
81.54,-3.87
81.64,-3.87
81.74,-3.87
81.84,-3.87
81.94,-3.87
82.04,-3.87
82.15,-3.59
82.25,-3.59
82.35,-4.14
82.45,-4.14
82.55,-3.87
82.65,-3.87
82.75,-3.87
82.85,-3.87
82.95,-4.14
83.05,-3.87
83.15,-4.14
83.26,-3.87
83.36,-3.59
83.46,-3.59
83.56,-3.87
83.66,-3.31
83.76,-3.87
83.86,-3.59
83.96,-4.14
84.06,-3.87
84.16,-3.87
84.26,-4.14
84.37,-3.59
84.47,-3.87
84.57,-3.87
84.67,-3.87
84.77,-4.42
84.87,-3.31
84.97,-3.59
85.07,-3.59
85.17,-3.59
85.27,-3.31
85.38,-3.59
85.48,-4.42
85.58,-4.42
85.68,-3.59
85.78,-3.59
85.88,-3.87
85.98,-3.87
86.08,-4.14
86.18,-3.87
86.28,-3.59
86.38,-4.14
86.49,-3.87
86.59,-3.87
86.69,-3.59
86.79,-3.59
86.89,-3.59
86.99,-3.87
87.09,-3.59
87.19,-4.14
87.29,-4.14
87.39,-3.87
87.5,-3.87
87.6,-3.87
87.7,-3.87
87.8,-3.87
87.9,-3.59
88,-3.87
88.1,-3.87
88.2,-4.14
88.3,-3.87
88.4,-3.87
88.5,-3.87
88.61,-3.59
88.71,-3.87
88.81,-3.87
88.91,-3.87
89.01,-3.59
89.11,-3.59
89.21,-4.14
89.31,-3.87
